"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"LINGUAS";"QUANTIDADE"
"I&L NEGOCIOS LTDA ME - ME";"LOCALOGO RENT A CAR";"18.870.174/0001-70";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";59010000;"RN";"Natal";"Praia do Meio";"AV. PRESIDENTE CAFÉ FILHO, 1750  LOJA 05";"(84) 3202-7380";"(84) 87842-2744";"reservas@localogorentcar.com.br";"";"";"10/06/2014";"10/06/2016";"20.064072.85.0001-0";"7711-0/00-LOCADORA DE AUTOS (Primário)";"(""Inglês,Espanhol"")";15
"I. S. I. TURISMO LTDA - ME";"PANTANAL TURISMO";"01.311.447/0001-44";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";83323250;"PR";"Pinhais";"Jardim Pinhais";"RUA QUINZE DE NOVEMBRO, 50";"(41) 3232-1070";"";"katia@jrcontadores.com.br";"";"";"04/11/2014";"04/11/2016";"18.067260.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";2
"IANA MARIA DE MIRANDA BEZERRA";"AGUA VIVA";"15.304.740/0001-99";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";58039010;"PB";"João Pessoa";"Tambaú";"AV. ALMIRANTE TAMANDARE, 612 SALA 03 - EDF. IMPERIAL FLAT";"(83) 3226-1117";"(83) 8862-3850";"rianacarros@gmail.com";"";"";"11/06/2014";"11/06/2016";"15.064132.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";7
"IBERÊ LOCADORA DE VEÍCULOS LTDA - ME";"VICARI TRANSPORTES";"00.064.746/0001-69";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";79290000;"MS";"Bonito";"Bonito";"RUA PEDRO ALVARES CABRAL, 800 - CENTRO";"(67) 8482-5529";"(67) 3255-2045";"financeiro@agenciasucuri.com.br";"";"";"12/02/2016";"12/02/2018";"12.076610.85.0001-5";"7711-0/00-LOCADORA DE AUTOS (Primário)";"(""Inglês,Espanhol"")";1
"IBERÊ LOCADORA DE VEÍCULOS LTDA - ME";"VICARI TRANSPORTES";"00.064.746/0001-69";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";79290000;"MS";"Bonito";"Bonito";"RUA PEDRO ALVARES CABRAL, 800 - CENTRO";"(67) 8482-5529";"(67) 3255-2045";"financeiro@agenciasucuri.com.br";"";"";"12/02/2016";"12/02/2018";"12.076610.85.0001-5";"7711-0/00-LOCADORA DE AUTOS (Primário)";"(""Inglês,Espanhol"")";7
"IBMIL LOCADORA DE VANS E VEICULOS LTDA - ME";"IBMIL";"04.299.424/0001-50";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";5662010;"SP";"São Paulo";"Jardim Morumbi";"R. DR. JESUINO DE ABREU, 333 ";"(11) 5572-9221";"";"ibsenlagrota@ig.com.br";"";"";"09/03/2016";"09/03/2018";"26.061054.85.0001-9";"7711-0/00-LOCADORA DE AUTOS (Primário)";"(""Nenhuma das Opções"")";1
"IDEAL  LOCAÇÕES  E  SERVIÇOS LTDA";"IDEAL  LOCAÇÕES";"04.750.478/0001-90";"Sociedade Empresária";"05/11/2001";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";57048025;"AL";"Maceió";"Tabuleiro do Martins";"AV. SERGIO LUIZ PESSOA BRAGA, 6262 QD. 02 LOTE 21";"(82) 3328-4365";"";"ideal.locacoes@hotmail.com";"";"";"03/06/2016";"03/06/2018";"02.064098.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Secundário)";"(""Nenhuma das Opções"")";1
"IDEAL  LOCAÇÕES  E  SERVIÇOS LTDA";"IDEAL  LOCAÇÕES";"04.750.478/0001-90";"Sociedade Empresária";"05/11/2001";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";57048025;"AL";"Maceió";"Tabuleiro do Martins";"AV. SERGIO LUIZ PESSOA BRAGA, 6262 QD. 02 LOTE 21";"(82) 3328-4365";"";"ideal.locacoes@hotmail.com";"";"";"03/06/2016";"03/06/2018";"02.064098.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Secundário)";"(""Nenhuma das Opções"")";2
"IDEAL  LOCAÇÕES  E  SERVIÇOS LTDA";"IDEAL  LOCAÇÕES";"04.750.478/0001-90";"Sociedade Empresária";"05/11/2001";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";57048025;"AL";"Maceió";"Tabuleiro do Martins";"AV. SERGIO LUIZ PESSOA BRAGA, 6262 QD. 02 LOTE 21";"(82) 3328-4365";"";"ideal.locacoes@hotmail.com";"";"";"03/06/2016";"03/06/2018";"02.064098.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Secundário)";"(""Nenhuma das Opções"")";4
"IDEAL SERVIÇOS DE TRANSPORTES LTDA ME";"LIGVAN";"09.396.742/0001-52";"Sociedade Empresária";"01/03/2008";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";49060020;"SE";"Aracaju";"Palestina";"AV. ALVARO MACIEL 189";"(79) 3205-1838";"";"ligvan-aju@hotmail.com";"";"";"14/10/2014";"14/10/2016";"25.032305.85.0001-2";"4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";3
"IESUS LOCADORA DE VEÍCULOS LTDA ME";"IESUS LOCADORA DE VEÍCULOS";"08.958.091/0001-84";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";49170000;"SE";"Laranjeiras";"Laranjeiras";"RUA FRANCISCO BRAGANÇA, 1 - CENTRO";"(79) 3281-3069";"";"iesuslocadora@yahoo.com.br";"";"";"12/01/2016";"12/01/2018";"25.060749.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Secundário)";"(""Nenhuma das Opções"")";5
"ILVA DE SA LOCADORA DE VEICULOS - ME";"BBR LOCADORA ";"14.338.663/0001-25";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";5814210;"SP";"São Paulo";"Jardim Ibirapuera";"SALGUEIRO DO CAMPO 277";"(11) 3479-0384";"";"bbrlocadora@hotmail.com";"";"";"05/02/2016";"05/02/2018";"26.076534.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(Inglês)";2
"IN RIO GROUP TRANSPORTE LTDA";"IN RIO GROUP";"19.926.348/0001-32";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";20270021;"RJ";"Rio de Janeiro";"Maracanã";"RUA SENADOR FURTADO, 61 / APT 1003";"(21) 98373-6165";"(21) 98858-5515";"marcellodeveza@gmail.com";"";"";"02/04/2014";"02/04/2016";"19.062458.85.0001-9";"4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Primário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário), 7912-1/00-OPERADORES TURÍSTICOS (Secundário)";"(""Inglês,Espanhol"")";2
"INDINHO MARQUES LOCAÇÃO  LTDA - ME";"INDINHO MARQUES LOCAÇÃO";"09.416.047/0001-05";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";78050355;"MT";"Cuiabá";"Canjica";"RUA DIREITA, Nº286, LOTE 03, QDA 03";"(65) 9285-4601";"(65) 3052-7791";"fiscal@bonamicontadores.com.br";"emerson@bonamicontadores.com.br";"";"09/09/2014";"09/09/2016";"13.066095.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"("""")";2
"INDINHO MARQUES LOCAÇÃO  LTDA - ME";"INDINHO MARQUES LOCAÇÃO";"09.416.047/0001-05";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";78050355;"MT";"Cuiabá";"Canjica";"RUA DIREITA, Nº286, LOTE 03, QDA 03";"(65) 9285-4601";"(65) 3052-7791";"fiscal@bonamicontadores.com.br";"emerson@bonamicontadores.com.br";"";"09/09/2014";"09/09/2016";"13.066095.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"("""")";20
"INFINITY LOCAÇÃO DE AUTOMÓVEIS LTDA";"INFINITY LOCADORA DE AUTOMÓVEIS";"15.123.699/0001-54";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";78015300;"MT";"Cuiabá";"Dom Aquino";"AVENIDA GENERAL MELLO, 1258";"(65) 3358-6692";"(65) 9963-4647";"bruno@infinityrentacarmt.com.br";"";"";"15/02/2016";"15/02/2018";"13.076641.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";1
"INFINITY LOCAÇÃO DE AUTOMÓVEIS LTDA";"INFINITY LOCADORA DE AUTOMÓVEIS";"15.123.699/0001-54";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";78015300;"MT";"Cuiabá";"Dom Aquino";"AVENIDA GENERAL MELLO, 1258";"(65) 3358-6692";"(65) 9963-4647";"bruno@infinityrentacarmt.com.br";"";"";"15/02/2016";"15/02/2018";"13.076641.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";12
"INFINITY LOCADORA DE VEÍCULOS E LOGISTICA LTDA - ME";"INFINITY EXPRESS";"18.210.855/0001-02";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";27964100;"RJ";"Macaé";"Parque Aeroporto";"RUA JOSÉ ALCENCAR CORREIA DE MELO, S/N° - QD/LOTE 6/0002";"(21) 2281-2424";"(22) 3084-7600";"financeiro@infinitytrasporte.com.br";"";"";"16/10/2015";"16/10/2017";"19.074362.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(Inglês)";4
"INFINITY TOUR TURÍSTICA, FRETAMENTO E LOCADORA LTDA";"INFINITY TOUR TURÍSTICA, FRETAMENTO E LOCADORA";"19.621.700/0001-21";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";21380260;"RJ";"Rio de Janeiro";"Quintino Bocaiúva";"RUA MANUEL MURTINHO,  219 CASA 16";"(21) 7822-0627";"";"marciogustos@hotmail.com";"";"";"26/05/2014";"26/05/2016";"19.063612.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";1
"INOVA SERVIÇOS LTDA-ME";"INOVA LOCADORA DE VEICULOS";"07.924.535/0001-06";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";69919140;"AC";"Rio Branco";"RESIDENCIAL PETRÓPOLIS";"EST.DIAS MARTINS -156-NOVA AVENIDA CEARA";"(68) 3229-3101";"(68) 8115-5785";"inova@inovalocadora.com.br";"";"";"11/04/2016";"11/04/2018";"01.062646.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";20
"INTERAMERICA SERVIÇOS LOCAÇÃO DE VEÍCULOS LTDA";"INTERAMERICA SERVIÇOS LOCAÇÃO DE VEÍCULOS";"22.458.814/0001-07";"Sociedade Empresária";"06/09/2006";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";32510230;"MG";"Betim";"Centro";"RUA ROMUALDA AUGUSTA DE MELO, 337 LOJA 01 - ";"(31) 3532-5400";"(31) 3532-5400";"roberto@interamerica.tur.br";"";"WWW.INTERAMERICA.TUR.BR";"15/04/2016";"15/04/2018";"11.007979.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário)";"(""Inglês,Espanhol"")";90
"INTERLAGOS LOCADORA DE VEICULOS LTDA - ME";"INTERLAGOS LOCADORA DE VEICULOS LTDA - ME";"73.530.396/0001-52";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";78015600;"MT";"Cuiabá";"Poção";"AV. FERNANDO CORREA DA COSTA, 542";"(65) 3046-8000";"";"horaciosouza@terra.com.br";"";"";"06/04/2015";"06/04/2017";"13.070061.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Inglês,Espanhol"")";8
"INTERLAGOS LOCADORA DE VEICULOS LTDA - ME";"INTERLAGOS LOCADORA DE VEICULOS LTDA - ME";"73.530.396/0001-52";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";78015600;"MT";"Cuiabá";"Poção";"AV. FERNANDO CORREA DA COSTA, 542";"(65) 3046-8000";"";"horaciosouza@terra.com.br";"";"";"06/04/2015";"06/04/2017";"13.070061.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Inglês,Espanhol"")";13
"INTRUDER LOCADORA DE VEICULOS LTDA";"INTRUDER";"05.287.928/0001-12";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";11050230;"SP";"Santos";"Encruzilhada";"R DR. GUEDES COELHO, 78 - APTO 12";"(13) 3233-7750";"(11) 4555-6444";"intruderloc@yahoo.com.br";"";"";"18/11/2015";"18/11/2017";"26.059594.85.0001-4";"7711-0/00-LOCADORA DE AUTOS (Primário)";"(""Nenhuma das Opções"")";2
"INVESTCAR VEICULOS LTDA -ME";"INVESTCAR VEICULOS";"01.615.224/0001-70";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";71200010;"DF";"Guará";"Zona Industrial";"OTR SCIA QD. 15 CONJ. 02 LOTE 08 ";"(61) 4141-7506";"(61) 3322-2929";"financeiroinvestcar@gmail.com";"";"";"13/06/2014";"13/06/2016";"07.064191.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Francês,Inglês"")";110
"IRAIDE SILVA DE SOUZA - ME";"TRANSFER EXECUTIVOS";"20.024.114/0001-89";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";18053180;"SP";"Sorocaba";"Conjunto Habitacional Júlio de Mesquita Filho";"R. LEOPOLDO DE LIMA MELO, 327";"(15) 3222-8180";"";"mc.contabil3@gmail.com";"";"";"13/05/2014";"13/05/2016";"26.063325.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";1
"IRMÃOS SALIBA TURISMO LTDA ME";"JC SALIBA TURISMO";"17.358.448/0001-84";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";30882360;"MG";"Belo Horizonte";"Serrano";"RUA SETE 216";"(31) 3477-7047";"(31) 3477-7047";"isturismo@yahoo.com.br";"isturismo@yahoo.com.br";"";"10/02/2015";"10/02/2017";"11.052848.85.0001-6";"4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Primário), 7711-0/00-LOCADORA DE CARROS (Secundário)";"(""Nenhuma das Opções"")";2
"ISA VANS LOCADORA DE VEICULOS LTDA - EPP";"ISA VANS LOCADORA DE VEICULOS LTDA - EPP";"05.728.303/0001-49";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";9570600;"SP";"São Caetano do Sul";"São José";"RUA HUMBERTO FERNANDES FORTES, 261 - BLOCO 67 APT 13";"(11) 2897-7729";"";"contato@isavans.com.br";"";"www.isavans.com.br";"09/11/2015";"09/11/2017";"26.074861.85.0001-4";"7711-0/00-LOCADORA DE AUTOS (Secundário)";"(""Inglês,Espanhol"")";2
"ISABELA ANTUNES VASCONCELOS - EPP";"BELMARI RENT A CAR";"14.506.605/0001-63";"Empresário Individual (Não MEI)";"";"Empresa de Pequeno Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";58038102;"PB";"João Pessoa";"Manaíra";"AV. EDSON RAMALHO, 988 SALA 101";"(83) 3578-4101";"";"belmarirenacar@gmail.com";"";"";"18/08/2014";"18/08/2016";"15.065602.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";1
"ISABELA ANTUNES VASCONCELOS - EPP";"BELMARI RENT A CAR";"14.506.605/0001-63";"Empresário Individual (Não MEI)";"";"Empresa de Pequeno Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";58038102;"PB";"João Pessoa";"Manaíra";"AV. EDSON RAMALHO, 988 SALA 101";"(83) 3578-4101";"";"belmarirenacar@gmail.com";"";"";"18/08/2014";"18/08/2016";"15.065602.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";54
"ISMAEL F DE OLIVEIRA-ME";"ISMAEL F DE OLIVEIRA";"18.191.766/0001-66";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";27197000;"RJ";"Pinheiral";"Pinheiral";"RUA BOAVENTURA XAVIER BOTELHO, 655";"(24) 3356-2526";"";"genecisantos@hotmail.com";"";"";"08/01/2016";"08/01/2018";"19.059210.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(Inglês)";2
"IVO COMERCIO DE VEICULOS LTDA - ME";"IVO VEICULOS";"03.837.468/0001-23";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";60442108;"CE";"Fortaleza";"Bela Vista";"AV. JOSÉ BASTOS, 4530 - A";"(85) 3023-6931";"";"ivocarneiro@hotmail.com";"";"";"06/10/2014";"06/10/2016";"06.066673.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";30
"J A DOS SANTOS LOCAÇÕES - ME";"J V I C T O R T U R";"13.641.879/0001-00";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";49140000;"SE";"Barra dos Coqueiros";"Barra dos Coqueiros";"RUA SÃO JOSÉ Nº 08 LOTEAMENTO KWAIT BAIRRO ATALAIA NOVA";"(79) 3209-1713";"";"jevictorturviagensturismo@hotmail.com";"";"";"04/09/2016";"04/09/2018";"25.041070.85.0001-3";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 7719-5/99-MOTOCICLETAS; LOCAÇÃO DE, ALUGUEL DE (Secundário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";"(""Nenhuma das Opções"")";1
"J C ALEXANDRE BELLO LOCADORA DE VEÍCULOS - ME";"BELLO LOCADORA DE VEÍCULOS";"21.689.545/0001-27";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";25850000;"RJ";"Paraíba do Sul";"Paraíba do Sul";"RUA JOSÉ MORONE, N° 50";"(24) 2263-4272";"(24) 99263-3086";"robson.islla70@gmail.com";"";"";"29/09/2015";"29/09/2017";"19.073855.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";2
"J C LOCADORA VEICULOS TRES RIOS LTDA - ME";"J C A LOCADORA DE VEICULOS";"16.370.179/0001-09";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";25882000;"RJ";"Anta";"Anta";"ROD BR 393, Nº180, KM 138, CENTRO";"(24) 99252-8525";"";"jcalocadora@yahoo.com.br";"";"";"16/12/2014";"16/12/2016";"19.068169.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";2
"J G SANTOS NETO - ME";"SOLARIS AUTOMÓVEIS";"11.345.067/0001-84";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";59056300;"RN";"Natal";"Lagoa Nova";"AVENIDA RUI BARBOSA, 1394";"(84) 3234-3284";"(84) 3234-3284";"ditoalexandre@hotmail.com";"";"";"13/01/2016";"13/01/2018";"20.076080.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4923-0/02-ALUGUEL DE AUTOMÓVEIS COM MOTORISTA, MUNICIPAL (Secundário)";"(Inglês)";5
"J G SANTOS NETO - ME";"SOLARIS AUTOMÓVEIS";"11.345.067/0001-84";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";59056300;"RN";"Natal";"Lagoa Nova";"AVENIDA RUI BARBOSA, 1394";"(84) 3234-3284";"(84) 3234-3284";"ditoalexandre@hotmail.com";"";"";"13/01/2016";"13/01/2018";"20.076080.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4923-0/02-ALUGUEL DE AUTOMÓVEIS COM MOTORISTA, MUNICIPAL (Secundário)";"(Inglês)";12
"J G SANTOS NETO - ME";"SOLARIS AUTOMÓVEIS";"11.345.067/0001-84";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";59056300;"RN";"Natal";"Lagoa Nova";"AVENIDA RUI BARBOSA, 1394";"(84) 3234-3284";"(84) 3234-3284";"ditoalexandre@hotmail.com";"";"";"13/01/2016";"13/01/2018";"20.076080.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4923-0/02-ALUGUEL DE AUTOMÓVEIS COM MOTORISTA, MUNICIPAL (Secundário)";"(Inglês)";80
"J M DE ARAUJO - ME";"LINDOLAR MAT.P/CONSTRUÇÃO";"08.201.843/0001-68";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";78052334;"MT";"Cuiabá";"ALTOS DA SERRA I";"RUA GOVERNADOR VALADARES, QD 156, LOTE 02";"(65) 3644-0122";"(65) 9204-4888";"marcoaraujo_77@hotmail.com";"";"";"30/07/2015";"30/07/2017";"13.072501.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";6
"J MARQUES DA SILVA - ME";"J M LOCADORA DE VEÍCULOS";"08.833.860/0001-18";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";59075710;"RN";"Natal";"Lagoa Nova";"AV. LIMA E SILVA, 1564";"(84) 3234-3993";"";"jm_locadora2@yahoo.com.br";"";"";"31/03/2014";"31/03/2016";"20.062374.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(Inglês)";2
"J P DE SOUZA MOREIRA LOCADORA DE VEICULOS - ME";"LOCADORA J P";"20.433.594/0001-31";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";25850000;"RJ";"Paraíba do Sul";"Paraíba do Sul";"RUA LUIZ NEVES SETOR A, N° 230 B 07";"(24) 99250-5317";"";"locadorajp@hotmail.com";"";"";"31/07/2015";"31/07/2017";"19.072561.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";2
"J W COMERCIO DE VEICULOS AUTOMOTORES LTDA-ME";"FABIANO AUTOMOVEIS";"10.601.143/0001-02";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";60170172;"CE";"Fortaleza";"Dionisio Torres";"AV DESEMBARGADOR MOREIRA, 2760 SL.01";"(85) 30550-6555";"";"wtargino@hotmail.com";"";"";"29/09/2014";"29/09/2016";"06.066511.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";10
"J W COMERCIO DE VEICULOS AUTOMOTORES LTDA-ME";"FABIANO AUTOMOVEIS";"10.601.143/0001-02";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";60170172;"CE";"Fortaleza";"Dionisio Torres";"AV DESEMBARGADOR MOREIRA, 2760 SL.01";"(85) 30550-6555";"";"wtargino@hotmail.com";"";"";"29/09/2014";"29/09/2016";"06.066511.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";100
"J W COMERCIO DE VEICULOS AUTOMOTORES LTDA - ME";"FABIANO AUTOMOVEIS";"10.601.143/0002-93";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";63900000;"CE";"Quixadá";"Quixadá";"RUA SOLON, 939 - ALTO SÃO FRANCISCO";"(85) 3224-4153";"";"tarciana_fabianoautomoveis@hotmail.com";"";"";"29/09/2014";"29/09/2016";"06.066512.85.0002-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";3
"J. D. LOCADORA DE VEÍCULOS LTDA - ME";"VIP CAR EXECUTIV TRANSPORT";"02.336.896/0001-00";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";79006540;"MS";"Campo Grande";"Vila Bandeirante";"R. ARGEMIRO FIALHO, 175";"(67) 3382-1117";"";"jorcelino@vipcarms.com.br";"";"www.vipcarms.com.br";"05/02/2016";"05/02/2018";"12.042945.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";4
