"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
"MARIA PAULA ARAÚJO DA SILVA - ME";"LARROSE ALIMENTOS PREPARADOS & BUFFET";"70.045.729/0001-60";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";59140800;"RN";"Parnamirim";"Cohabinal";"RUA DR. MÁRIO MEDEIROS, Nº 26";"(84) 3272-8699";"";"fatimabuffet03@yahoo.com.br";"";"";"25/02/2016";"25/02/2018";"20.076878.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";50;"(""Nenhuma das Opções"")"
"MARIANI STANGE 05273365996";"CAFÉ COLONIAL LENHA NO FOGO";"12.797.352/0001-07";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";88650000;"SC";"Urubici";"Urubici";"ESTRADA GERAL SANTA TEREZINHA, S/N";"(49) 3278-2046";"";"lenhanofogo@gmail.com";"";"";"18/09/2015";"18/09/2017";"24.073616.15.0001-2";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";40;"(Inglês)"
"MARIEL TAUCHERT-ME";"SONHO DOCE";"13.415.118/0001-22";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";77710000;"TO";"Pedro Afonso";"Pedro Afonso";"RUA BALDUINO PEREIRA DA COSTA 810";"(63) 3218-2544";"";"marieltauchert@gmail.com";"";"";"03/07/2014";"03/07/2016";"27.064529.15.0001-1";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";30;"(""Nenhuma das Opções"")"
"MARILENE GOMES DA SILVA";"";"18.317.043/0001-60";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";68734000;"PA";"Peixe-Boi";"Peixe-Boi";"AV. JOÃO GOMES PEDROSA S/N";"(91) 98448-4813";"";"marilene@hotmail.com";"";"";"03/06/2015";"03/06/2017";"14.071274.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";196;"("""")"
"MARIO CESAR NUNES IORIO - ME";"CANTINA ITALIANA";"16.587.287/0001-38";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29650000;"ES";"Santa Teresa";"Santa Teresa";"AV. JOSE RUSCHI 347 : LOJA B";"(27) 3259-3733";"(27) 9922-2517";"cesariorio@hotmail.com";"";"";"24/05/2016";"24/05/2018";"08.056527.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5620-1/02-BUFE; SERVIÇOS DE ALIMENTAÇÃO (Secundário), 4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário)";90;"(""Inglês,Italiano"")"
"MARIO LUIZ DA SILVA OLIVEIRA RESTAURANTE - ME";"DOM MARIO";"06.064.637/0001-28";"Sociedade Empresária";"01/01/2004";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";23968000;"RJ";"Ilha Grande";"Ilha Grande";"RUA NACIB MONTEIRO DE QUEIROZ, Nº 781";"(24) 3361-5349";"";"angraconangra@hotmail.com";"";"";"11/12/2014";"11/12/2016";"19.036764.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";50;"(""Francês,Inglês"")"
"MARIVONE M LEITES & CIA LTDA - ME";"HOTEL, RESTAURANTE E CHURRASCARIA MOLON";"02.124.947/0001-30";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";96180000;"RS";"Camaquã";"Camaquã";"EST BR 116 SN KM 388";"(51) 3501-8917";"";"mmleites@ibest.com.br";"clobisribeiro@ibest.com.br";"";"04/11/2014";"04/11/2016";"23.067235.15.0001-9";"5510-8/01-HOTEL (Secundário), 5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";170;"(Espanhol)"
"MARIZA FERNANDES ROSA DOS SANTOS EIRELI-ME";"CHURASCARIA LOS PAMPAS";"16.834.163/0001-00";"Empresa Individual (EIRELI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74023020;"GO";"Goiânia";"Setor Central";"RUA 7 S/Nº QUADRA 30 LOTE 15/17";"(62) 3945-8856";"";"marizalospampasgyn@hotmail.com";"";"";"27/04/2015";"27/04/2017";"09.070461.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";390;"(""Nenhuma das Opções"")"
"MARIZETH BEZERRA DA COSTA";"KARISMA HOTEL";"11.196.256/0001-32";"Sociedade Empresária";"01/10/2009";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";73850000;"GO";"Cristalina";"Cristalina";"RUA 21 DE ABRIL N-293  SETOR CENTRAL";"(61) 36112-2525";"";"karismahotel@hotmail.com";"";"";"08/10/2015";"08/10/2017";"09.036220.15.0001-0";"5510-8/01-HOTEL (Primário), 4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário), 5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";20;"(""Nenhuma das Opções"")"
"MARKUS & DIAS LTDA - ME";"RESTAURANTE SEMPRE LIDER";"19.847.941/0001-93";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78360000;"MT";"Campo Novo do Parecis";"Campo Novo do Parecis";"AV OLACYR FRANCISCO DE MORAES, 88, CENTRO";"(65) 3382-1579";"";"liane.markus@hotmail.com";"";"";"02/09/2015";"02/09/2017";"13.073216.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;"(""Nenhuma das Opções"")"
"MARLENE DE OLIVEIRA ROSA SILVA -ME";"PANIFICADORA PÃO DA VIDA";"03.203.352/0001-32";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";75850000;"GO";"Caiapônia";"Caiapônia";"R 12 N 15 QD 08 LT 2-A CENTRO";"(64) 3663-2035";"";"orlandoguias@yahoo.com";"";"";"17/04/2015";"17/04/2017";"09.052807.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";12;"(""Nenhuma das Opções"")"
"MARLENE GOMES DE VELLASCO - ME";"RESTOURANTE FLOR DE IPE ";"03.874.957/0001-55";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";76600000;"GO";"Goiás";"Goiás";"R DOM BOSCO N 32 CENTRO";"(62) 3372-1133";"";"marlenecultura@hotmail.com";"";"";"29/06/2015";"29/06/2017";"09.054578.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;"(""Nenhuma das Opções"")"
"MARLIN EMPREENDIMENTOS LTDA - EPP";"RESTAURANTE MARLIN";"05.540.989/0001-40";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";49035730;"SE";"Aracaju";"Atalaia";"AV. SANTOS DUMONT, 1378";"(79) 2107-5232";"(79) 2107-5219";"contasapagar@aquarioshotel.com.br";"";"www.aquarioshotel.com.br";"06/07/2015";"06/07/2017";"25.042341.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;"(Inglês)"
"MARLY BARBOSA DA COSTA";"POUSADA DAS OCAS";"06.155.064/0001-48";"Sociedade Empresária";"16/05/2005";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";58295000;"PB";"Baía da Traição";"Baía da Traição";"LOTEAMENTO JARDIM DA PRAINHA";"(83) 3296-1130";"";"pousadadasocas@hotmail.com";"";"WWW.POUSADADASOCAS.COM.BR";"10/11/2015";"10/11/2017";"15.012475.15.0001-7";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Secundário)";120;"("""")"
"MARTA GEORGIA SENA ME";"SPAÇO MIX";"04.753.850/0001-11";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";59585000;"RN";"São Miguel do Gostoso";"SÃO MIGUEL DO GOSTOSO";"RUA CAVALO MARINHO, 40";"(84) 3263-4250";"";"andregugelmin@gmail.com";"";"www.spacomix.com";"28/03/2016";"28/03/2018";"20.058309.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Secundário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário)";200;"(""Francês,Inglês,Italiano,Espanhol"")"
"MARTINS & GONÇALVES LTDA - ME";"DELICIAS DO TRIGO";"11.481.836/0001-71";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";79720000;"MS";"Jateí";"Jateí";"AV. WEIMAR GONÇALVES TORRES, 234, CENTRO";"(67) 3465-1049";"(67) 3467-5125";"eduamp@gmail.com";"";"";"12/11/2015";"12/11/2017";"12.057785.15.0001-1";"5611-2/03-SORVETERIA; SERVIÇO DE ALIMENTAÇÃO (Secundário), 5611-2/01-PIZZARIA COM SERVIÇO COMPLETO; SERVIÇO DE ALIMENTAÇÃO (Secundário), 5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";100;"(""Nenhuma das Opções"")"
"MARTINS GUILHERME SOUZA DE ARRUDA 50228781191";"JACARÉ LANCHES E PIZZAS";"18.314.574/0001-08";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78075705;"MT";"Cuiabá";"Jardim Imperial";"RUA SETECENTOS, Nº 2";"(65) 3624-8866";"";"anamarthago@hotmail.com";"";"";"16/09/2014";"16/09/2016";"13.066256.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";40;"(""Nenhuma das Opções"")"
"MATHEUS FARIAS FREIRE";"RESTAURANTE DA DUDA";"21.776.503/0001-23";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";68730000;"PA";"Nova Timboteua";"Nova Timboteua";"AV. BARÃO DO RIO BRANCO S/N";"(91) 98192-4612";"";"matheduda2016@gmail.com";"";"";"07/04/2016";"07/04/2018";"14.077819.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";30;"(""Nenhuma das Opções"")"
"MATIAZZO RESTAURANTE E CHOPERRIA LTDA-ME";"RESTAURANTE MAO DE PILAO";"18.476.153/0001-75";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74085010;"GO";"Goiânia";"Setor Sul";"R 88 746 QD:F39 LT:80 SETOR SUL";"(62) 3255-3231";"";"seletobarrestaurante@gmail.com";"";"";"07/05/2015";"07/05/2017";"09.070678.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";120;"(""Nenhuma das Opções"")"
"MAUÁ COMÉRCIO DE ALIMENTOS E SERVIÇOS DE HOTELARIA LTDA - ME";"MAUÁ HOTEL E RESTAURANTE";"21.758.866/0001-36";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";83413000;"PR";"Colombo";"Planta Boros";"RODOVIA BR 116 - KM 14,5 NÚMERO 3326 - BLOCO 2";"(41) 3663-0021";"";"kerly@lealcivil.com.br";"contato@postomaua.com.br";"www.postomaua.com.br";"22/10/2015";"22/10/2017";"18.074474.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5510-8/01-HOTEL (Secundário)";180;"(""Nenhuma das Opções"")"
"MAYCON JOSE DE CARVALHO - ME";"RESTAURANTE CONTO DE REIS";"21.881.875/0001-10";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";35400000;"MG";"Ouro Preto";"Ouro Preto";"RUA CAMILO DE BRITO  21  CENTRO";"(31) 3551-5359";"";"annapadamansur@uol.com.br";"";"";"09/10/2014";"09/10/2016";"11.066768.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";220;"(Inglês)"
"MCM DE ALMEIDA";"RESTAURANTE MIRIAN";"09.373.755/0001-06";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69950000;"AC";"Manoel Urbano";"Manoel Urbano";"TRAVESSA 7 DE SETEMBRO -152-CENTRO";"(68) 9982-5793";"";"macmdealmeida@hotmail.com";"";"";"30/04/2015";"30/04/2017";"01.053182.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";50;"(""Nenhuma das Opções"")"
"MEDALHÃO ALIMENTOS LTDA - ME";"MEDALHÃO";"09.251.245/0001-66";"Sociedade Empresária";"12/12/2007";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";76900034;"RO";"Ji-Paraná";"Centro";"RUA JÚLIO GUERRA. Nº 268";"(69) 3423-1212";"";"comercial@hoteltranscontinental.com.br";"";"";"08/07/2015";"08/07/2017";"21.034689.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;"(""Nenhuma das Opções"")"
"MEDEIROS & ROCHA LTDA-ME";"YOOKI SUSHI";"12.999.529/0001-40";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74063300;"GO";"Goiânia";"Setor Norte Ferroviário";"R 44 329 QD: AREA LOTE 2.2 A 14 ARAGUAIA SHOPPING";"(62) 3088-0044";"";"thiago.mendesjr@hotmail.com";"";"";"01/04/2015";"01/04/2017";"09.070036.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";600;"(""Nenhuma das Opções"")"
"MEGA RODOSHOPING RESTAURANTE E LANCHES - EIRELI";"MEGA GRILL";"06.021.139/0001-06";"Empresa Individual (EIRELI)";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";45025905;"BA";"Vitória da Conquista";"Brasil";"RODOVIA BR 116, S/Nº KM 848 - DISTRITO DE IGUÁ";"(77) 3421-3609";"(77) 3421-2045";"dtarsoassessoria@msn.com";"assessoria@dtarso.com";"";"09/06/2016";"09/06/2018";"05.079055.15.0001-5";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário), 5510-8/01-HOTEL (Secundário)";160;"(""Nenhuma das Opções"")"
"MELHORES SABORES COMÉRCIO DE ALIMENTOS LTDA";"PREMIATTO EXPRESS";"22.313.716/0001-81";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70715900;"DF";"Brasília";"Asa Norte";"ST SCN QD. 05 BLOCO A LOJA 84L TÉRREO ";"(61) 3327-6239";"(61) 3327-7917";"karol@volpconsultoria.com";"";"";"16/12/2015";"16/12/2017";"07.075716.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";40;"(Inglês)"
"MELO E BATISTA COMÉRCIO E SERVIÇOS LTDA-ME";"PÃO & CIA";"07.843.671/0001-63";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";68745390;"PA";"Castanhal";"Santa Lídia";"R. HERNANI LAMEIRA, S/N. ESQ. QUINTINO BOCAIÚVA.";"(91) 3721-9612";"";"paoeciaqualidadetododia@gmail.com";"";"";"19/06/2015";"19/06/2017";"14.071597.15.0001-5";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";64;"(""Nenhuma das Opções"")"
"MELQUIADES DE SOUZA GONCALVES-ME";"RESTAURANTE E CHURRASCARIA CHIMARRAO";"25.006.537/0001-90";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";76420000;"GO";"Niquelândia";"Niquelândia";"R 15 DE NOVEMBRO  34 CENTRO";"(62) 3354-1615";"";"sc-contabil@hotmail.com";"";"";"18/02/2016";"18/02/2018";"09.076722.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";25;"(""Nenhuma das Opções"")"
"MEMÓRIA COMUNICAÇÕES LTDA";"MEMÓRIA COMUNICAÇÕES LTDA";"45.934.361/0001-43";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";12530000;"SP";"Cunha";"Cunha";"ROD. CUNHA PARATI, SN KM 57 - CX POSTAL 15";"(12) 3111-5115";"";"contato@pousadadosanjos.com.br";"";"http://www.pousadadosanjos.com.br";"25/09/2015";"25/09/2017";"26.058044.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Secundário), 4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário), 5510-8/01-HOTEL (Secundário)";20;"(Inglês)"
"MENDONÇA E GARCIA COMERCIO DE PRODUTOS ALIMENTÍCIOS LTDA - ME";"CASERATTO";"22.068.490/0001-09";"Sociedade Empresária";"";"Microempresa";"Em Implantação";"Restaurantes, Cafeterias e Bares";"Restaurante";74180100;"GO";"Goiânia";"Setor Marista";"RUA 1.132 C/1.131 N°20 Q.258 L.12S";"(62) 8261-0033";"";"caseratobarerestaurante@gmail.com";"";"";"28/05/2015";"28/05/2017";"09.071127.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;"(""Nenhuma das Opções"")"
"MERCIA VIANA NOVAIS - ME";"BADIONALDO";"12.610.614/0001-74";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";58310000;"PB";"Cabedelo";"Cabedelo";"RUA VITURINO CARDOSO, 196 PRAIA DO POÇO";"(83) 3250-1299";"";"amauribvm@hotmail.com";"";"";"30/12/2015";"30/12/2017";"15.055938.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";380;"(""Nenhuma das Opções"")"
"MERIDA COMERCIO DE ALIMETOS LTDA-ME";"SUBWAY- ESTACAO GOIANIA";"20.730.853/0001-96";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74063020;"GO";"Goiânia";"Setor Norte Ferroviário";"AV OESTE C/ AVENIDA GOIAS SN QUADRA 2.1 LOTE AREA";"(62) 8482-1702";"";"carol.subway@yahoo.com.br";"";"";"24/09/2014";"24/09/2016";"09.066432.15.0001-2";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";20;"(Inglês)"
"MESQUITA E MOURAO LTDA ME";"SORVETERIA MASTER MEL";"21.425.413/0001-98";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";76270000;"GO";"Jussara";"Jussara";"AV. ALMIRANTE SALDANHA N 50 QD 03 LT 05 SL 09 VILA REBOUCAS";"(62) 3373-1022";"";"contato@bol.com.br";"";"";"03/12/2014";"03/12/2016";"09.067940.15.0001-6";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";60;"(""Inglês,Espanhol"")"
"MESTIÇOS GELATERIA E COFFEESHOP";"MESTIÇOS GELATERIA E COFFEESHOP";"20.683.947/0001-51";"Empresa Individual (EIRELI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";58200000;"PB";"Guarabira";"Guarabira";"SABINIANO MAIA, 1056 NOVO";"(83) 98875-1289";"";"andersonrenneclaudino@gmail.com";"";"";"04/12/2015";"04/12/2017";"15.075483.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";80;"("""")"
"MG RESTAURANTE MAQUINE XANGRI LA LTDA";"RESTAURANTE MAQUINÉ";"07.706.009/0001-61";"Sociedade Empresária";"17/11/2005";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95588000;"RS";"Xangri-Lá";"Xangri-Lá";"AV PARAGUASSU 2124    CENTRO";"(51) 3689-2249";"";"maurogoldani@gmail.com";"";"";"29/01/2015";"29/01/2017";"23.036452.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"(Espanhol)"
"MIGUEIS E SOUSA LTDA - ME";"RESTAURANTE E PEIXARIA MIGUÉIS";"03.322.329/0001-67";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79300004;"MS";"Corumbá";"Centro";"RUA FREI MARIANO, 708";"(67) 3231-4798";"(67) 3231-4798";"restaurantemigueis@ig.com.br";"";"www.restaurantemigueis.com.br";"09/09/2016";"09/09/2018";"12.049662.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";160;"(Inglês)"
"MILANO PASTELARIA E RESTAURANTE LTDA - ME";"PASTELARIA DO MILTON";"36.811.271/0001-74";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";79002121;"MS";"Campo Grande";"Centro";"R. SETE DE SETEMBRO, 61, BOX 35 A 38";"(67) 3382-4703";"";"pastelariadomilton@hotmail.com";"";"";"04/08/2015";"04/08/2017";"12.072601.15.0001-0";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";22;"(""Nenhuma das Opções"")"
"MILTON HELFENSTEIN - ME";"GOLDEN CHOPP";"17.856.236/0001-27";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78360000;"MT";"Campo Novo do Parecis";"Campo Novo do Parecis";"AV MATO GROSSO, Nº 1259, CENTRO";"(65) 3382-3495";"";"daril@controllermt.com.br";"";"";"19/11/2014";"19/11/2016";"13.067637.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";400;"(""Nenhuma das Opções"")"
"MILTON LIMA LEONE - ME";"RESTAURANTE E LANCHONETE CARNE DE SOL";"84.303.049/0001-03";"Empresa Individual (EIRELI)";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69923000;"AC";"Bujari";"Bujari";"BR 364 KM. 28 - S/Nº";"(68) 3231-1010";"(68) 9228-3555";"simoneleone71@gmail.com";"";"";"22/03/2016";"22/03/2018";"01.061947.15.0001-5";"5611-2/01-A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";80;"(Espanhol)"
"MINAS DF COMERCIO DE ALIMENTOS LTDA";"MINAS DF COMERCIO DE ALIMENTOS";"03.034.087/0001-06";"Sociedade Simples";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70610430;"DF";"Brasília";"Zona Industrial";"SIG QD 03 BL B LJ 16";"(61) 3344-2138";"(61) 3344-2138";"dornelesvasconcelos@gmail.com";"";"";"18/07/2014";"18/07/2016";"07.064887.15.0001-0";"5611-2/01-A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";300;"(""Nenhuma das Opções"")"
"MIRAI SUSHI LTDA - ME";"MIRAI SUSHI";"20.920.839/0001-55";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79021000;"MS";"Campo Grande";"Santa Fé";"R. CEARA, 930";"(67) 3026-3909";"";"elianemsdd@gmail.com";"";"";"16/10/2015";"16/10/2017";"12.066262.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;"(""Nenhuma das Opções"")"
"MIRTES BELLO FAUST RESTAURANTE PUB";"RESTAURANTE PUB CATUAI";"17.320.570/0001-61";"Empresário Individual (Não MEI)";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";76967621;"RO";"Cacoal";"Industrial";"AV. FLOR DE MARACÁ, N°20517";"(69) 3441-8009";"";"financeiro@catuaihotel.com.br";"reservascacoal@catuaihotel.com.br";"";"06/05/2015";"06/05/2017";"21.070646.15.0001-2";"5611-2/03-BAR SEM SERVIÇO COMPLETO (Primário)";0;"(""Nenhuma das Opções"")"
"MMLE BAR E CHOPERIA LTDA - ME";"CANTINA MATO GROSSO BAR E CHOPERIA";"14.416.089/0001-86";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";79840230;"MS";"Dourados";"Vila Industrial";"RUA CORONEL PONCIANO DE MATTOS PEREIRA, 2085-B";"(67) 3429-1556";"";"cantinamatogrossoddos@hotmail.com";"";"";"28/08/2014";"28/08/2016";"12.065861.15.0001-0";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";350;"(""Nenhuma das Opções"")"
"MOISES DE OLIVEIRA - ME";"ESPETINHO DO CUNHADO";"08.940.237/0001-64";"Empresário Individual (Não MEI)";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";75804055;"GO";"Jataí";"Samuel Grahan";"RUA RIO VERDE Nº 2026  SAMUEL GRAHAM";"(64) 9907-6445";"(64) 3636-8539";"moisestxu@hotmail.com";"";"";"30/12/2015";"30/12/2017";"09.075908.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Secundário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";240;"(""Nenhuma das Opções"")"
"MOMO CONFEITARIA - EPP";"MOMO CONFEITARIA - EPP";"02.416.490/0001-37";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";30380252;"MG";"Belo Horizonte";"Coração de Jesus";"AVENIDA PRUDENTE DE MORAIS 1158, LOJA 06 - 07";"(31) 9849-3204";"(31) 3422-7633";"auditoria@momoconfeitaria.com.br";"";"";"12/05/2016";"12/05/2018";"11.078512.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";30;"("""")"
"MONTE SIÃO BAR E RESTAURANTE LTDA - ME";"FAUSTO & MANOEL";"06.040.290/0001-83";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70854510;"DF";"Brasília";"Asa Norte";"SCLN 209 BLOCO A LOJA 15, 19 E 29 - TERREO";"(61) 3340-7552";"";"faustoemanoel209norte@gmail.com";"";"";"17/11/2014";"17/11/2016";"07.049095.15.0001-3";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";350;"(""Nenhuma das Opções"")"
