"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"LINGUAS";"QUANTIDADE"
RELAMPAGO RENT A CAR LTDA - ME;RELAMPAGO RENT A CAR;"24.205.643/0001-30";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;59.054.180;RN;Natal;Dix-Sept Rosado;AV. NASCIMENTO DE CASTRO, 86;(84) 98815-6666;;taxirelampago@hotmail.com;;;"20.076682.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
FMC GALONI LOCADORA DE VEICULOS - ME;GALONI LOCADORA E FRETAMENTO;"12.084.962/0001-55";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;3.923.175;SP;São Paulo;Parque dos Bancários;RUA FELICIANO PRAZERES, Nº 13;(11) 2059-3177;;galonitur@terra.com.br;;;"26.072751.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário)";Nenhuma das Opções;0
ARABESCO LOCADORA DE VEÍCULOS EIRELI-ME;ARABESCO LOCAÇÕES;"07.084.958/0001-57";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;13.401.453;SP;Piracicaba;Jardim Glória;RUA DR EDUARDO KIEHL 153 JARDIM GLORIA PIRACICABA SP;(19) 8143-7182;;andreyagpa@yahoo.com.br;;;"26.081585.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 7719-5/99-MOTOCICLETAS; LOCAÇÃO DE, ALUGUEL DE (Secundário)";Inglês;0
B&L  SERVIÇOS E LOCAÇÕES LTDA-ME;B&L  SERVIÇOS E LOCAÇÕES LTDA-ME;"21.334.948/0001-53";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;29.016.095;ES;Vitória;Centro;RUA DO ROSÁRIO, 78-  SALA  51;(27) 3376-5211;;rosario_alex@yahoo.com.br;;;"08.077542.85.0001-8";"7912-1/00-ORGANIZADORES DE VIAGEM; SERVIÇOS DE (Secundário), 7912-1/00-OPERAÇÕES DE VIAGEM; SERVIÇOS DE (Secundário), 4929-9/02-ALUGUEL DE AUTOMÓVEIS COM CONDUTOR, INTERMUNICIPAL, INTERESTADUAL, INTERNACIONAL (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário), 7711-0/00-LOCADORA DE AUTOS (Secundário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";Francês;0
VANDA ZANATTA DA SILVA - ME;VAVA TUR TRANSPORTES;"18.376.782/0001-23";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;79.290.000;MS;Bonito;Bonito;R. SANTANA DO PARAISO, 802;(67) 3255-3660;;vavatur01@gmail.com;;;"12.055427.85.0001-0";"4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Espanhol ,Inglês;0
M.DOS SANTOS MENDONÇA LOCAÇÕES DE VEICULOS - ME;LSN LOCAÇÕES;"22.669.751/0001-38";Microempreendedor Individual (MEI);;Mei;Em Operação;Locadora de Veículos;Aluguel de Veículos;35.930.170;MG;João Monlevade;Rosário;RUA DR. GASTÃO VELOSO, 32 A;(31) 3853-1412;;contabilidadeduarte@globo.com;;;"11.078767.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
MARLUCE GOMES DA SILVA FERRO - ME;ROBERVAN;"13.871.628/0001-04";Microempreendedor Individual (MEI);;Mei;Em Operação;Locadora de Veículos;Aluguel de Veículos;12.281.320;SP;Caçapava;Vila São João;RUA PROFESSOR JOSÉ DE FREIRAS GUIMARÃES,108;(12) 3653-2579;;jrferrosp@hotmail.com;;;"26.071255.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
POTY RENT A CAR LTDA - EPP;POTY RENT CAR VEÍCULOS;"09.535.897/0001-22";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;64.001.090;PI;Teresina;Centro;RUA RUI BARBOSA, Nº 544, SALA A;(86) 3214-8181;;potyrentacar@bol.com.br;;www.potyrentacar.com.br;"17.072538.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";;0
X NOVA FRONTEIRA CONSTRUÇÕES LTDA -EPP;X NOVA FRONTEIRA CONSTRUÇOES;"11.644.826/0001-00";Empresário Individual (Não MEI);"21/01/2008";Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;78.043.272;MT;Cuiabá;Duque de Caxias I;RUA GENERAL RAMIRO DE NORONHA, 826 ;(65) 3054-5657;;tiagolfn@gmail.com;;;"13.077555.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
ARI TRANSPORTE & LOCAÇÃO LTDA EIRELE - ME;BORA BORA VIAGENS E TURISMO;"07.840.327/0001-10";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;49.760.000;SE;Rosário do Catete;Rosário do Catete;R JOAO FELICIANO DE MENEZES 912 SALA 01 CENTRO;(79) 3241-1183;(79) 3241-1183;atllocadora2012@hotmail.com;;;"25.052004.85.0001-6";"4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
LOCASE LOCADORA ASE MOTORS LTDA - EPP;LOCASE LOCADORA ASE MOTORS;"02.019.677/0001-05";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;79.332.110;MS;Corumbá;Aeroporto;R. EDU ROCHA, 969;(67) 3231-6000;;locase@terra.com.br;;;"12.073158.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Espanhol;0
LOCAR NEW VEICULOS;NEW RENT-A- CAR;"08.659.172/0001-83";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;31.130.680;MG;Belo Horizonte;Renascença;AVENIDA CLARA NUNES, 296 A;(31) 3879-2816;(31) 9602-2816;locarnew@hotmail.com;;www.locarnew.com.br;"11.075955.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
EROSOM PROMOÇÕES E EVENTOS LTDA - ME;FORRÓ CAVALO DE AÇO;"09.643.897/0001-46";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;59.146.590;RN;Parnamirim;Parque de Exposições;RUA VEREADOR BANDEIRA JUNIOR, 498;(84) 99983-7624;;grupoeroson@hotmail.com;;;"20.082908.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";;0
L. B. COSTA - AGÊNCIA DE TURISMO E LOCADORA - ME;BERNARDES E BERNARDES TRANSPORTE E TURISMO;"13.759.031/0001-72";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;25.630.011;RJ;Petrópolis;Alto da Serra;RUA PADRE FEIJO, N° 61;(24) 2231-6951;;pdlocadora@hotmail.com;;www.bebtransporteturismo.com.br;"19.053847.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Inglês;0
FR LOCADORA EIRELI;FR LOCADORA EIRELI;"22.359.493/0001-93";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;78.060.600;MT;Cuiabá;Jardim das Américas;AV. FERNANDO CORREA DA COSTA, 1263, JD. DAS AMÉRICAS;(65) 8119-2190;;rafaelramires@trescinco.com.br;;;"13.070674.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";;0
DB VAN LOCADORA DE AUTOMOVEIS LTDA - ME;DB VAN LOCADORA DE AUTOMOVEIS LTDA - ME;"02.229.070/0001-41";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;3.636.000;SP;São Paulo;Penha de França;AV. AMADOR BUENO DE VEIGA, 766;(11) 2338-0034;;contato@dbvanlocadora.com;;;"26.062984.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
TRANSPORTES PONTES BRANDÃO LTDA - ME;TRANSPORTES PONTES BRANDÃO LTDA - ME;"02.997.101/0001-04";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;4.128.030;SP;São Paulo;Vila Mariana;R CRISTIANO CASTANHO DE ALMEIDA, N°: 100;(11) 4091-7437;;william.transportesbrandao@gmail.com;;;"26.072760.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
PRP BORGES COMERCIO EIRELI EPP;UNNION MULTIVENDAS;"05.457.629/0001-89";Sociedade Simples;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;78.040.405;MT;Cuiabá;Ribeirão da Ponte;AVENIDA BRASIL, 100;(65) 3028-6780;(65) 3028-6780;pauloprborges@gmail.com;;;"13.079913.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Inglês;0
ALTO PARAÍSO ECOTURISMO  LTDA - ME;ECO ROTAS;"03.428.569/0001-40";Sociedade Empresária;"01/07/1999";Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;73.770.000;GO;Alto Paraíso de Goiás;Alto Paraíso de Goiás;RUA DAS NASCENTES N° 129 PARAISINHO;(62) 3446-1820;;reservas@ecorotas.com.br;;www.ecorotas.com.br;"09.019538.85.0001-4";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE ENCONTROS E CONGRESSOS, SERVIÇOS DE (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
GOAL VEÍCULOS E SERVIÇOS LTDA ME;GOAL  PRIME;"08.332.038/0001-73";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;20.270.021;RJ;Rio de Janeiro;Maracanã;RUA SENADOR FURTADO, 51 - FUNDOS;(21) 2524-8008;(21) 2524-8008;ramon.pires@goalprime.com;;;"19.050052.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Inglês;0
MSJ FEIRAS EVENTOS E TURISMO LTDA ME;MSJ FEIRAS EVENTOS E TURISMO;"20.763.631/0001-70";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;44.002.064;BA;Feira de Santana;Centro;RUA MARECHAL DEODORO, 402 ;(75) 3623-3887;(75) 2101-8900;contato@msjeventos.com.br;;;"05.066147.85.0001-9";"8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE ENCONTROS E CONGRESSOS, SERVIÇOS DE (Primário), 5620-1/02-BUFE; SERVIÇOS DE ALIMENTAÇÃO (Secundário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário), 5510-8/01-HOTEL (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
IDEAL  LOCAÇÕES  E  SERVIÇOS LTDA;IDEAL  LOCAÇÕES;"04.750.478/0001-90";Sociedade Empresária;"05/11/2001";Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;57.048.025;AL;Maceió;Tabuleiro do Martins;AV. SERGIO LUIZ PESSOA BRAGA, 6262 QD. 02 LOTE 21;(82) 3328-4365;;ideal.locacoes@hotmail.com;;;"02.064098.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Secundário)";Nenhuma das Opções;0
PETROS'LOG TURIS.LOCADORA DE VEICULOS LTDA ME;PETROPOLIS TURISMO;"04.294.225/0001-59";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;25.645.343;RJ;Petrópolis;Independência;ESTRADA DA INDEPENDENCIA, 1551 CASA 4;(24) 2248-2371;;albertopetroslog@gmail.com;;;"19.056193.85.0001-6";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
LOC SERV LOGÍSTICA DEDICADA LTDA.;LOC SERV;"10.935.646/0001-14";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;27.930.070;RJ;Macaé;Granja dos Cavaleiros;AVENIDA PREFEITO ARISTEU FERREIRA DA SILVA, NÚMERO 1977;(22) 2772-6565;;joao.r.costa@globo.com;;www.locserv.net.br;"19.073017.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/02-ALUGUEL DE AUTOMÓVEIS COM MOTORISTA, INTERMUNICIPAL, INTERESTADUAL, INTERNACIONAL (Secundário)";Inglês;0
MIXLOC - LOCAÇAO DE VEICULOS LTDA;MIXLOC - LOCAÇÃO E SERVIÇOS;"12.336.139/0001-90";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;57.308.000;AL;Arapiraca;Planalto;RODOVIA AL 220 KM 06 LOJA 03;(82) 3539-8888;(82) 3539-8888;comercial@mixlocserv.com.br;;;"02.068834.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
ESLEI AUTO PECAS LTDA ME;ESLEI AUTO PECAS;"06.241.779/0001-13";Microempreendedor Individual (MEI);;Mei;Em Operação;Locadora de Veículos;Aluguel de Veículos;76.450.000;GO;Minaçu;Minaçu;AV MARANHAO QD 13A LT10;(62) 3379-2225;(62) 3379-2225;edilene_eslei@hotmail.com;;;"09.070943.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";Nenhuma das Opções;0
R. W. TOUR - TRANSPORTES LTDA - EPP;R.W. TOUR;"05.216.160/0001-96";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;2.315.000;SP;São Paulo;Vila Mazzei;RUA IWAJIRO TAKAHASHI, 19 SALA 6 ;(11) 2359-6700;(11) 2359-6700;reginaldo.rw@terra.com.br;;www.rwtour.com.br;"26.070444.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";Nenhuma das Opções;0
J.R. TRANSPORTES E LOCAÇÃO DE PASSAGEIROS LTDA ME;J. R. TRANSPORTES;"23.068.070/0001-87";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;27.321.090;RJ;Barra Mansa;Vila Nova;RUA SANTO ONOFRE ;(24) 3322-3063;;fagner-bilac@hotmail.com;;;"19.075053.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário), 4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Secundário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";Nenhuma das Opções;0
REGINALDO COSTA GONZALES - ME;LOCADORA DE VEICULOS ACACIA;"06.876.831/0001-08";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;17.509.120;SP;Marília;Marília;RUA AMAZONAS, 51;(14) 3413-8580;(14) 3413-8580;agencia.acacia.tur@gmail.com;;;"26.063125.85.0001-1";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
VIP SERVICE CLUB LOCADORA E SERVIÇOS LTDA;VIP SERVICE CLUB LOCADORA;"02.605.452/0001-22";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;70.712.903;DF;Brasília;Asa Norte;ST SCN QD. 02 BLOCO D S/N SALA 912 A PARTE E;(61) 2106-6400;;agenda@vipserviceclub.com.br;;;"07.058089.85.0001-2";"7912-1/00-OPERAÇÃO DE TURISMO; SERVIÇOS DE (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Inglês;0
CARAJÁS SERVIÇOS DE LOCAÇÃO LTDA - EPP;LOCADORA CARAJÁS;"14.725.249/0001-79";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;68.385.000;PA;Tucumã;Tucumã;RUA AIRTON SENNA, QD: 20, LOTE: 157/169, S/Nº;(94) 3433-3508;;carajas_locadora@hotmail.com;;;"14.080402.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";;0
A. C. LANZA LOPES - ME;LANZATUR - TRANSPORTES;"24.091.489/0001-12";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;79.290.000;MS;Bonito;Bonito;R. 29 DE MAIO, 1356;(67) 8429-2472;;contabilidade@zagaia.com.br;;;"12.077154.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
BENETOUR TRANSPORTES LTDA - ME;BENETOUR TRANSPORTES LTDA - ME;"07.339.998/0001-00";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;13.390.000;SP;Rio das Pedras;Rio das Pedras;R. FERNANDO COSTA, 439 B;(19) 3434-6611;;organizacao.anglo@ig.com.br;;;"26.062144.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
LORENZI LOCADORA DE VEICULOS LTDA ME;VAN VITORIA;"12.623.309/0001-17";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;29.105.680;ES;Vila Velha;Cocal;RUA DEZOITO, 119, SALA 01;(27) 3218-6615;;lorenzilocadora@gmail.com;;www.vanvitoria.com.br;"08.080291.85.0001-8";"7711-0/00-LOCADORA DE AUTOS (Primário)";Espanhol ,Italiano ,Inglês;0
A L AUTO LOCADORA LTDA -  ME;A L AUTO LOCADORA;"16.444.562/0001-64";Sociedade Simples;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;95.670.000;RS;Gramado;Gramado;R IRINEO TOMAZELLI  337;(54) 9967-0325;;autolocadoramissioneira@hotmail.com;;;"23.065878.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Alemão;0
AUTO LOCADORA ACIOLI LTDA - ME;AUTO LOCADORA ACIOLI;"02.258.148/0001-56";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;91.010.003;RS;Porto Alegre;Passo D'Areia;AV ASSIS BRASIL 3532 SALA 907;(51) 3347-1933;(51) 3344-4756;locadoraacioli@yahoo.com.br;;;"23.083187.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
LOCAR TRANSPORTE LTDA-ME;LOCAR RENTE A CAR;"13.118.835/0001-92";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;64.001.210;PI;Teresina;Centro;RUA SETE DE SETEMBRO 538 - SALA 01;(86) 3221-1060;;carlosmagno.pi@gmail.com;;;"17.051804.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
ANTUNES TURISMO  LTDA;ANTUNES TURISMO;"07.467.164/0001-72";Sociedade Empresária;"29/06/2005";Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;35.430.141;MG;Ponte Nova;Triângulo;RUA ERNESTO TRIVELLATO, 88                         ;(31) 3881-3553;;antunesturismo@hotmail.com;;;"11.077475.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
SANNAVANS LOCADORA DE VEICULOS LTDA - ME;SANNA TRANSPORTES;"18.047.665/0001-16";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;3.081.015;SP;São Paulo;Tatuapé;RUA TUIUTI, 770 - BLOCO 02 APT 133;(11) 2694-8900;;sannannunes@hotmail.com;;;"26.072215.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
VALDEZ LOCAÇÃO DE VEICULOS LTDA - ME;VALDEZ LOCAÇÃO;"07.708.690/0001-87";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;79.600.110;MS;Três Lagoas;Centro;RUA CEL. JOÃO GONÇALVES DE OLIVEIRA, 2.153;(67) 3521-7936;;maria@triunfoagropecuaria.com.br;;;"12.038327.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;1
JOSEVANIA RODRIGUES DA SILVA PAIVA TRANSPORTES - ME;LKR TRANSPORTES ;"18.507.977/0001-65";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;13.082.010;SP;Campinas;Chácaras Campos dos Amarais;RUA GUSTAVO STUART, 407;(19) 3246-3017;;lkrtransportes@gmail.com;;;"26.080378.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/02-ALUGUEL DE AUTOMÓVEIS COM MOTORISTA, INTERMUNICIPAL, INTERESTADUAL, INTERNACIONAL (Secundário)";Nenhuma das Opções;0
SOLISMAR RODRIGUES DE SOUZA & CIA LTDA - ME;TECHPRINT;"13.150.724/0001-63";Empresário Individual (Não MEI);"03/03/1997";Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;78.780.000;MT;Alto Araguaia;Alto Araguaia;RUA DOM AQUINO CORREIA, 1283;(65) 3364-6328;;salis_aia@hotmail.com;;;"13.077683.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
MATEUS CASAGRANDE LOCADORA EIRELI - ME;LOCAR LOCADORA DE CARROS;"01.466.216/0001-00";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;18.460.000;SP;Itararé;Itararé;RUA SAO PEDRO, 2939;(15) 3532-4270;;age0420@bb.com.br;;;"26.079440.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Inglês;0
MDS TUR LOCAÇOES DE VEICULOS EIRELI;MDS TUR;"19.833.848/0001-20";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;26.520.331;RJ;Nilópolis;Centro;ESTRADA MIRANDELA 73 APTO 201;(21) 2693-0677;;mdstur@uol.com.br;;;"19.068744.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário), 4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Secundário), 4923-0/02-ALUGUEL DE VEÍCULOS RODOVIÁRIOS COM MOTORISTA, MUNICIPAL (Secundário)";Nenhuma das Opções;0
VERGINIA SORDI ADAI TRANSPORTES - ME;SORDI TRANSPORTES E LOCACAO;"10.811.780/0001-03";Empresário Individual (Não MEI);;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;12.237.140;SP;São José dos Campos;Conjunto Residencial Trinta e Um de Março;"RUA PROFESSOR FRANCISCO PEREIRA DA SILVA; N° 32";(12) 3931-9547;;marilea-castro@hotmail.com;;;"26.082994.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
ROBSON TONANI -ME;R.I.D LOCADORA DE VEICULOS;"17.789.947/0001-26";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;29.104.485;ES;Vila Velha;Jardim Asteca;AVENIDA VITORIA REGIA - N.04 - SALA A ;(27) 3031-3451;;ridtransportes@gmail.com;;www.ridlocadora.com.br;"08.080706.85.0001-4";"7711-0/00-LOCADORA DE AUTOS (Primário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";Inglês;0
LOCA SIM LOCADORA DE VEICULOS EIRELI-ME;LOCA SIM;"16.883.863/0001-94";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;74.280.010;GO;Goiânia;Setor Nova Suiça;AV C-255 N 171 QUADRA 601 LOTE 13;(62) 3255-5003;;contato@locasimveiculos.com.br;;;"09.069014.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";;0
MENDES COMERCIAL DE MANUFATURADOS E SERVIÇOS DE LOCAÇÃO E TRANSPORTES EIRELI - EPP;TOP COMERCIAL;"09.618.981/0001-00";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;72.007.710;DF;Brasília;SETOR HABITACIONAL VICENTE PIRES;RUA 12 CHÁCARA 309 LOTE 30 1º ANDAR - PARTE B;(61) 3355-1044;;comercial@grupotop.ind.br;;;"07.081500.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
